Branch_ID,City_x,Region_x,Firm_Revenue,Expenses,Profit_Margin,Customer_ID,Age,Customer_Type,City_y,Region_y,Bank_Name,Transaction_ID,Account_Type,Total_Balance,Transaction_Amount,Investment_Amount,Investment_Type,Transaction_Date,Month,transaction_dayofweek,transaction_day,is_weekend,days_since_first_tx,cluster
1000,Solapur,East,422443.0,346471,56.31,204700,54.0,Individual,Kolhapur,East,HDFC Bank,304833,Current,57622,4676.0,11260,Fixed Deposit,2024-04-05,2024-04,4,5,0,746,0
1000,Solapur,East,422443.0,346471,56.31,204955,51.0,Business,Solapur,South,HDFC Bank,300574,Business,37337,1121.0,27750,Fixed Deposit,2024-05-29,2024-05,2,29,0,800,0
1000,Solapur,East,422443.0,346471,56.31,205772,57.0,Individual,Nashik,West,HDFC Bank,304051,Current,26773,2924.0,9480,Recurring Deposit,2025-02-14,2025-02,4,14,0,1061,0
1000,Solapur,East,422443.0,346471,56.31,205772,57.0,Individual,Nashik,West,HDFC Bank,307451,Current,31080,780.0,8956,Fixed Deposit,2022-11-07,2022-11,0,7,0,231,0
1000,Solapur,East,422443.0,346471,56.31,205772,57.0,Individual,Nashik,West,HDFC Bank,309364,Business,61386,3988.0,19907,Mutual Fund,2023-05-03,2023-05,2,3,0,408,0
1000,Solapur,East,422443.0,346471,56.31,205772,57.0,Individual,Nashik,West,HDFC Bank,309549,Current,1179,1449.0,17009,Recurring Deposit,2024-05-22,2024-05,2,22,0,793,0
1000,Solapur,East,422443.0,346471,56.31,207347,68.0,Employee,Solapur,North,HDFC Bank,301717,Business,69415,457.0,20883,Mutual Fund,2023-08-30,2023-08,2,30,0,527,2
1000,Solapur,East,422443.0,346471,56.31,207347,68.0,Employee,Solapur,North,HDFC Bank,308701,Savings,91193,4121.0,2179,Fixed Deposit,2024-03-27,2024-03,2,27,0,737,2
1001,Mumbai,North,211155.0,216256,79.53,204075,57.0,Employee,Kolhapur,South,HDFC Bank,308645,Business,15434,3268.0,28203,Mutual Fund,2022-07-19,2022-07,1,19,0,120,2
1001,Mumbai,North,211155.0,216256,79.53,204601,52.0,Employee,Solapur,North,HDFC Bank,309254,Savings,95667,4789.0,49276,Recurring Deposit,2024-11-05,2024-11,1,5,0,960,2
